337 [GEN:337] Voice Marker
6005 [GEN:6005] Ashen Crawler
6007 [GEN:6007] Ashen Crawler
6008 [GEN:6008] Ashen Crawler
6011 [GEN:6011] Ashen Crawler
6020 [GEN:6020] Ashen Crawler
6030 [GEN:6030] Ashen Crawler
7000 [GEN:7000] Prowlers
7001 [GEN:7001] Prowlers
7002 [GEN:7002] Prowlers
7003 [GEN:7003] Prowlers
7004 [GEN:7004] Prowlers
7100 [GEN:7100] Crystal Lizard
7510 [GEN:7510] Alonne Captain
7530 [GEN:7530] Alonne Knight
7531 [GEN:7531] Alonne Knight
7532 [GEN:7532] Alonne Knight
7535 [GEN:7535] Alonne Knight
7603 [GEN:7603] Flame Lizard
7610 [GEN:7610] Alonne Captain
7630 [GEN:7630] Alonne Knight
7631 [GEN:7631] Alonne Knight
8001 [GEN:8001] Ashen Warrior
8020 [GEN:8020] Fume Sorcerer
8103 [GEN:8103] Ashen Warrior
8108 [GEN:8108] Ashen Warrior
8109 [GEN:8109] Ashen Warrior
8201 [GEN:8201] Fume Sorcerer
8212 [GEN:8212] Ashen Warrior
8301 [GEN:8301] Possessed Armor
8311 [GEN:8311] Ashen Warrior
8414 [GEN:8414] Possessed Armor
9000 [GEN:9000] Ashen Warrior
9001 [GEN:9001] Ashen Warrior
9010 [GEN:9010] Possessed Armor
9020 [GEN:9020] Possessed Armor
9030 [GEN:9030] Iron Warrior
9040 [GEN:9040] Iron Warrior
9060 [GEN:9060] Ashen Warrior
9070 [GEN:9070] Iron Warrior
9080 [GEN:9080] Ashen Warrior
9090 [GEN:9090] Ashen Warrior
9500 [GEN:9500] Evangelist Scion Waslo
9502 [GEN:9502] Evangelist Scion Waslo
