0 Standard
1509 Hollow +9 
1510 Hollow +10 
2000 Standard (Catalyst)
2001 Standard (Catalyst) +1 
2002 Standard (Catalyst) +2 
2003 Standard (Catalyst) +3 
2004 Standard (Catalyst) +4 
2005 Standard (Catalyst) +5 
2006 Standard (Catalyst) +6
2007 Standard (Catalyst) +7 
2008 Standard (Catalyst) +8 
2009 Standard (Catalyst) +9 
2010 Standard (Catalyst) +10 
2100 Dragon 
2101 Dragon +1 
2102 Dragon +2 
2103 Dragon +3 
2104 Dragon +4 
2105 Dragon +5 
2200 Twinkling 
2201 Twinkling +1 
2202 Twinkling +2 
2203 Twinkling +3 
2204 Twinkling +4 
2205 Twinkling +5 
2300 Twinkling (Sage's Crystal Staff)
2301 Twinkling (Sage's Crystal Staff) +1 
2302 Twinkling (Sage's Crystal Staff) +2 
2303 Twinkling (Sage's Crystal Staff) +3 
2304 Twinkling (Sage's Crystal Staff) +4 
2305 Twinkling (Sage's Crystal Staff) +5 
2400 Twinkling (Catalyst)
2401 Twinkling (Catalyst) +1 
2402 Twinkling (Catalyst) +2 
2403 Twinkling (Catalyst) +3 
2404 Twinkling (Catalyst) +4 
2405 Twinkling (Catalyst) +5 
2500 Twinkling (DLC)
2501 Twinkling (DLC) +1 
2502 Twinkling (DLC) +2 
2503 Twinkling (DLC) +3 
2504 Twinkling (DLC) +4 
2505 Twinkling (DLC) +5 
2600 Twinkling (Hybrid Catalyst)
2601 Twinkling (Hybrid Catalyst) +1 
2602 Twinkling (Hybrid Catalyst) +2 
2603 Twinkling (Hybrid Catalyst) +3 
2604 Twinkling (Hybrid Catalyst) +4 
2605 Twinkling (Hybrid Catalyst) +5 
2700 Standard (Hybrid Catalyst)
2701 Standard (Hybrid Catalyst) +1 
2702 Standard (Hybrid Catalyst) +2 
2703 Standard (Hybrid Catalyst) +3 
2704 Standard (Hybrid Catalyst) +4 
2705 Standard (Hybrid Catalyst) +5 
2706 Standard (Hybrid Catalyst) +6
2707 Standard (Hybrid Catalyst) +7 
2708 Standard (Hybrid Catalyst) +8 
2709 Standard (Hybrid Catalyst) +9 
2710 Standard (Hybrid Catalyst) +10 
2800 Standard (Pyromancy Flame)
2801 Standard (Pyromancy Flame) +1 
2802 Standard (Pyromancy Flame) +2 
2803 Standard (Pyromancy Flame) +3 
2804 Standard (Pyromancy Flame) +4 
2805 Standard (Pyromancy Flame) +5 
2806 Standard (Pyromancy Flame) +6
2807 Standard (Pyromancy Flame) +7 
2808 Standard (Pyromancy Flame) +8 
2809 Standard (Pyromancy Flame) +9 
2810 Standard (Pyromancy Flame) +10 
3000 None
3100 Standard (Crossbow)
3101 Standard (Crossbow) +1 
3102 Standard (Crossbow) +2 
3103 Standard (Crossbow) +3 
3104 Standard (Crossbow) +4 
3105 Standard (Crossbow) +5 
3106 Standard (Crossbow) +6
3107 Standard (Crossbow) +7 
3108 Standard (Crossbow) +8 
3109 Standard (Crossbow) +9 
3110 Standard (Crossbow) +10 
3200 Standard (Avelyn)
3201 Standard (Avelyn) +1 
3202 Standard (Avelyn) +2 
3203 Standard (Avelyn) +3 
3204 Standard (Avelyn) +4 
3205 Standard (Avelyn) +5 
3206 Standard (Avelyn) +6
3207 Standard (Avelyn) +7 
3208 Standard (Avelyn) +8 
3209 Standard (Avelyn) +9 
3210 Standard (Avelyn) +10 
3300 Standard (Repeating Crossbow)
3301 Standard (Repeating Crossbow) +1 
3302 Standard (Repeating Crossbow) +2 
3303 Standard (Repeating Crossbow) +3 
3304 Standard (Repeating Crossbow) +4 
3305 Standard (Repeating Crossbow) +5 
4000 Heavy (Hammer)
4001 Heavy (Hammer) +1
4002 Heavy (Hammer) +2
4003 Heavy (Hammer) +3
4004 Heavy (Hammer) +4
4005 Heavy (Hammer) +5
4006 Heavy (Hammer) +6
4007 Heavy (Hammer) +7
4008 Heavy (Hammer) +8
4009 Heavy (Hammer) +9
4010 Heavy (Hammer) +10
4100 Refined (Hammer)
4101 Refined (Hammer) +1
4102 Refined (Hammer) +2
4103 Refined (Hammer) +3
4104 Refined (Hammer) +4
4105 Refined (Hammer) +5
4106 Refined (Hammer) +6
4107 Refined (Hammer) +7
4108 Refined (Hammer) +8
4109 Refined (Hammer) +9
4110 Refined (Hammer) +10
4500 Dragon (Special)
4501 Dragon (Special) +1
4502 Dragon (Special) +2
4503 Dragon (Special) +3
4504 Dragon (Special) +4
4505 Dragon (Special) +5
4600 Twinkling (DLC2)
4601 Twinkling (DLC2) +1 
4602 Twinkling (DLC2) +2 
4603 Twinkling (DLC2) +3 
4604 Twinkling (DLC2) +4 
4605 Twinkling (DLC2) +5 
5000 Sharp (Dagger)
5001 Sharp (Dagger) +1 
5002 Sharp (Dagger) +2
5003 Sharp (Dagger) +3
5004 Sharp (Dagger) +4
5005 Sharp (Dagger) +5
5006 Sharp (Dagger) +6
5007 Sharp (Dagger) +7
5008 Sharp (Dagger) +8
5009 Sharp (Dagger) +9
5010 Sharp (Dagger) +10
6000 Heavy (Greataxe)
6001 Heavy (Greataxe) +1
6002 Heavy (Greataxe) +2
6003 Heavy (Greataxe) +3
6004 Heavy (Greataxe) +4
6005 Heavy (Greataxe) +5
6006 Heavy (Greataxe) +6
6007 Heavy (Greataxe) +7
6008 Heavy (Greataxe) +8
6009 Heavy (Greataxe) +9
6010 Heavy (Greataxe) +10
6100 Refined (Axe/Halberd)
6101 Refined (Axe/Halberd) +1
6102 Refined (Axe/Halberd) +2
6103 Refined (Axe/Halberd) +3
6104 Refined (Axe/Halberd) +4
6105 Refined (Axe/Halberd) +5
6106 Refined (Axe/Halberd) +6
6107 Refined (Axe/Halberd) +7
6108 Refined (Axe/Halberd) +8
6109 Refined (Axe/Halberd) +9
6110 Refined (Axe/Halberd) +10
6200 Heavy (Axe)
6201 Heavy (Axe) +1
6202 Heavy (Axe) +2
6203 Heavy (Axe) +3
6204 Heavy (Axe) +4
6205 Heavy (Axe) +5
6206 Heavy (Axe) +6
6207 Heavy (Axe) +7
6208 Heavy (Axe) +8
6209 Heavy (Axe) +9
6210 Heavy (Axe) +10
6300 Sharp (Axe)
6301 Sharp (Axe) +1
6302 Sharp (Axe) +2
6303 Sharp (Axe) +3
6304 Sharp (Axe) +4
6305 Sharp (Axe) +5
6306 Sharp (Axe) +6
6307 Sharp (Axe) +7
6308 Sharp (Axe) +8
6309 Sharp (Axe) +9
6310 Sharp (Axe) +10



8000 Standard (Small Shield)
8001 Standard (Small Shield) +1
8002 Standard (Small Shield) +2
8003 Standard (Small Shield) +3
8004 Standard (Small Shield) +4
8005 Standard (Small Shield) +5
8006 Standard (Small Shield) +6
8007 Standard (Small Shield) +7
8008 Standard (Small Shield) +8
8009 Standard (Small Shield) +9
8010 Standard (Small Shield) +10
8100 Standard (Medium Shield)
8101 Standard (Medium Shield) +1
8102 Standard (Medium Shield) +2
8103 Standard (Medium Shield) +3
8104 Standard (Medium Shield) +4
8105 Standard (Medium Shield) +5
8106 Standard (Medium Shield) +6
8107 Standard (Medium Shield) +7
8108 Standard (Medium Shield) +8
8109 Standard (Medium Shield) +9
8110 Standard (Medium Shield) +10
8200 Standard (Greatshield)
8201 Standard (Greatshield) +1
8202 Standard (Greatshield) +2
8203 Standard (Greatshield) +3
8204 Standard (Greatshield) +4
8205 Standard (Greatshield) +5
8206 Standard (Greatshield) +6
8207 Standard (Greatshield) +7
8208 Standard (Greatshield) +8
8209 Standard (Greatshield) +9
8210 Standard (Greatshield) +10
8300 Twinkling (Greatshield)
8301 Twinkling (Greatshield) +1
8302 Twinkling (Greatshield) +2
8303 Twinkling (Greatshield) +3
8304 Twinkling (Greatshield) +4
8305 Twinkling (Greatshield) +5
8400 Twinkling (Greatshield Alternate)
8401 Twinkling (Greatshield Alternate) +1
8402 Twinkling (Greatshield Alternate) +2
8403 Twinkling (Greatshield Alternate) +3
8404 Twinkling (Greatshield Alternate) +4
8405 Twinkling (Greatshield Alternate) +5
8500 Twinkling (Medium Shield)
8501 Twinkling (Medium Shield) +1
8502 Twinkling (Medium Shield) +2
8503 Twinkling (Medium Shield) +3
8504 Twinkling (Medium Shield) +4
8505 Twinkling (Medium Shield) +5
